variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,,,,,
barcoded_cell_sample_local_name,local_name,4c0e6380-e53f-4173-a474-d41e836fefe3,Barcoded Cell Sample Local Name / Identifier,Barcoded Cell Sample Local Name / Identifier,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
barcoded_cell_sample_nhash_id,study_id,,Barcoded Cell Sample NHash ID,Barcoded Cell Sample NHash ID,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
barcoded_cell_sample_number_of_expected_cells,number_of_cells,f10e928d-5a2b-4943-af18-d8fe5d05528d,Barcoded Cell Sample number of expected cells,Barcoded Cell Sample number of expected cells,numeric,,Barcoded Cell Sample,Barcoded Cell Sample,,0,,integer,,,,
barcoded_cell_sample_preparation_date,preparation_date,,Barcoded Cell Sample preparation date,Barcoded Cell Sample preparation date,date,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
project_identifier,project,,The project this Barcoded Cell Sample is for,The project this Barcoded Cell Sample is for,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
barcoded_cell_sample_port_well,barcoded_cell_sample_port_well,aca38100-d245-4be4-9be3-ba27192779fe,Barcoded Cell Sample port well,Barcoded Cell Sample port well,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
barcoded_cell_input_quantity_count,barcoded_cell_input_quantity_count,aa534269-7c9b-4b63-b990-eea8cda56d0e,Barcoded Cell input quantity count,Barcoded Cell input quantity count,numeric,,Barcoded Cell Sample,Barcoded Cell Sample,,0,,integer,,,,
barcoded_cell_sample_technique,technique,,Barcoded Cell Sample Technique,Barcoded Cell Sample Technique,categorical,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,Multiome/#/Multiome/#/|ATACOnly/#/ATACOnly/#/|GEXOnly/#/GEXOnly/#/|snm3C-seq/#/snm3C-seq/#/
dissociated_cell_sample_ids,dissociated_cell_sample_ids,,Upstream dissociated cell sample NHash ids,Upstream dissociated cell sample NHash ids,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
enriched_cell_sample_ids,enriched_cell_sample_ids,,Upstream enriched cell sample NHash ids,Upstream enriched cell sample NHash ids,text,,Barcoded Cell Sample,Barcoded Cell Sample,,,,,,,,
