variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Slab Collection Fields,Slab Collection Fields,,,,,,,,,,,,
brain_subdivision,brain_subdivision,,Brain Subdivision,Brain Subdivision,categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/cerebrum/#/|2/#/cerebellum/#/|3/#/brainstem/#/
slab_hemisphere,slab_hemisphere,,Slab Hemisphere,Slab Hemisphere,categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/left/#/|2/#/right/#/
number_of_slabs,number_of_slabs,,Number of Slabs In the Image,Number of Slabs In the Image,numeric,,Slab Collection Fields,Slab Collection,,1,50,integer,1,,,
thickness,thickness,,Thickness,Thickness,numeric,,Slab Collection Fields,Slab Collection,,0,100,decimal,0.01,mm,,
anatomical_direction_top_btm,anatomical_direction_top_btm,,Anatomical Direction (Top to Bottom),Anatomical Direction (Top to Bottom),categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/anterior-to-posterior/#/|2/#/posterior-to-anterior/#/|3/#/dorsal-to-ventral/#/|4/#/ventral-to-dorsal/#/|5/#/left-to-right/#/|6/#/right-to-left/#/|7/#/medial-to-lateral/#/|8/#/lateral-to-medial/#/|9/#/rostral-to-caudal/#/|10/#/caudal-to-rostral/#/
anatomical_direction_left_right,anatomical_direction_left_right,,Anatomical Direction (Left to Right),Anatomical Direction (Left to Right),categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/anterior-to-posterior/#/|2/#/posterior-to-anterior/#/|3/#/dorsal-to-ventral/#/|4/#/ventral-to-dorsal/#/|5/#/left-to-right/#/|6/#/right-to-left/#/|7/#/medial-to-lateral/#/|8/#/lateral-to-medial/#/|9/#/rostral-to-caudal/#/|10/#/caudal-to-rostral/#/
anatomical_direction_across_slabs,anatomical_direction_across_slabs,,Anatomical Direction (Across slabs),Anatomical Direction (Across slabs),categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/anterior-to-posterior/#/|2/#/posterior-to-anterior/#/|3/#/dorsal-to-ventral/#/|4/#/ventral-to-dorsal/#/|5/#/left-to-right/#/|6/#/right-to-left/#/|7/#/medial-to-lateral/#/|8/#/lateral-to-medial/#/|9/#/rostral-to-caudal/#/|10/#/caudal-to-rostral/#/
local_slab_ids,local_slab_ids,,Local Slab IDs,Local Slab IDs,text,,Slab Collection Fields,Slab Collection,,,,,,,,
visiable_slab_face,visiable_slab_face,,Visible Slab Face,Visible Slab Face,categorical,,Slab Collection Fields,Slab Collection,,,,,,,,1/#/anterior/#/|2/#/posterior/#/|3/#/dorsal/#/|4/#/ventral/#/|5/#/left/#/|6/#/right/#/|6/#/medial/#/|7/#/lateral/#/|8/#/rostral/#/|9/#/cadual/#/
