variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Library,Library,,,,,,,,,,,,
library_local_name,name,f717e254-3630-4342-be7b-4d56376e7afe,Library Local Name/Identifier,Local Library Name,text,,Library,Library,,,,,,,,
library_nhash_id,study_id,,Library NHash ID,Library NHash ID,text,,Library,Library,,,,,,,,
library_technique,technique,7b60d59e-fdd7-4b27-a2d4-cae9b69103a6,Technique,Library technique,categorical,,Library,Library,,,,,,,,SMARTSeqSC/#/SMARTSeqSC/#/|SmartSeq3/#/SmartSeq3/#/|10xV3.1/#/10xV3.1/#/|10xV3.1_HT/#/10xV3.1_HT/#/|10xMultiome;GEX/#/10xMultiome;GEX/#/|10xMultiome;ATAC/#/10xMultiome;ATAC/#/|10xATAC_V2.0/#/10xATAC_V2.0/#/|10XMultiome-CellHashing;GEX/#/10XMultiome-CellHashing;GEX/#/|10XMultiome-CellHashing;ATAC/#/10XMultiome-CellHashing;ATAC/#/|10XMultiome-Cell Hashing;Barcode/#/10XMultiome-Cell Hashing;Barcode/#/|10xV3.1_CellPlex;GEX/#/10xV3.1_CellPlex;GEX/#/|10xV3.1_CellPlex;Barcode/#/10xV3.1_CellPlex;Barcode/#/|10xV3.1_HT_CellPlex;GEX/#/10xV3.1_HT_CellPlex;GEX/#/|10xV3.1_HT_CellPlex;Barcode/#/10xV3.1_HT_CellPlex;Barcode/#/|MethylC-Seq/#/MethylC-Seq/#/|snm3C-seq/#/snm3C-seq/#/|snmCT-seq/#/snmCT-seq/#/|scATAC-seq/#/scATAC-seq/#/|MERFISH/#/MERFISH/#/|Slide-seq MERFISH/#/Slide-seq MERFISH/#/|whole brain MERFISH/#/whole brain MERFISH/#/|DBiT RNA-seq/#/DBiT RNA-seq/#/|DBiT ATAC-seq/#/DBiT ATAC-seq/#/
library_r1_r2_index,r1_r2_index,c94b5d8a-e92d-47af-8c0e-ea3b58be4d06,R1/R2 Index,R1/R2 Index,categorical,,Library,Library,,,,,,,,
library_preparation_date,library_preparation,9c2f575d-1b64-451d-894f-656861afe07a,Library preparation date,Library preparation date,date,,Library,Library,,,,,,,,
library_additional_commnents,comments,,Additional comments,Additional comments,text,,Library,Library,,,,,,,,
library_source_type,origin,,Library source type,Library source type,categorical,,Library,Library,,,,,,,,barcoded_cell_sample/#/barcoded_cell_sample/#/|amplified_cdna/#/amplified_cdna/#/
project_identifier,project,,The project this library is for,The project this library is for,text,,Library,Library,,,,,,,,
library_avg_size_bp,library_avg_size_bp,f851eba9-56d1-4472-9d0c-d7f8bc33000a,library avg size bp,library avg size bp,numeric,,Library,Library,,0,,integer,,,,
library_concentration_nm,library_concentration_nm,90805b3f-f380-4f23-b159-e7eaa0c8f052,Library concentration nm,Library concentration nm,numeric,,Library,Library,,0,,float,,,,
library_input_ng,library_input_ng,e4d31d97-722d-4771-a0e4-e6062190f2c1,library input ng,library input ng,numeric,,Library,Library,,0,,float,,,,
library_prep_pass_fail,library_prep_pass_fail,6817ede2-7ead-402d-9dbc-131aca627c6c,library prep pass-fail,library prep pass-fail,categorical,,Library,Library,,,,,,,,Pass/#/Library Prep passed the QA/QC/#/|Fail/#/Library Prep failed the QA/QC/#/|Low QC/#/Library Prep low passed the QA/QC/#/|Not evaluated/#/Library Prep not evaluated for QA/QC/#/
library_prep_set,library_prep_set,b124ffa9-9134-4a61-a30d-bb191b2fc7fa,library prep set,library prep set,text,,Library,Library,,,,,,,,
library_quantification_fmol,library_quantification_fmol,4c09ada7-c116-48bc-8fb1-0dcf5c4b939a,library quantification fmol,library quantification fmol,numeric,,Library,Library,,0,,float,,,,
library_quantification_ng,library_quantification_ng,318b2d3a-dae7-4c63-bfbb-93862b92f63e,library quantification ng,library quantification ng,numeric,,Library,Library,,0,,float,,,,
amplified_cdna_id,amplified_cdna_id,,Amplified cDNA database id,Amplified cDNA database id,numeric,,Library,Library,,,,,,,,
barcoded_cell_sample_id,cell_sample_id,,Barcoded cell sample database id,Barcoded cell sample database id,numeric,,Library,Library,,,,,,,,
