variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Library Pool,Library Pool,,,,,,,,,,,,
library_pool_local_name,name,29e0578b-6427-4c93-b29b-bde27fbadeec,Library Pool Local Name / Identifier,Library Pool Local Name / Identifier,text,,Library Pool,Library Pool,,,,,,,,
library_pool_nhash_id,study_id,,Library Pool NHash ID,Library Pool NHash ID,text,,Library Pool,Library Pool,,,,,,,,
library_pool_local_tube_id,tube_id,f1fdea98-7849-4def-a62f-a04cbbf98922,Local Tube Name / Identifier,Local Tube Name / Identifier,text,,Library Pool,Library Pool,,,,,,,,
library_pool_tube_barcode,bar_code,da02a0ee-9abf-45ef-abb1-981f1aaba6b2,Library pool tube barcode,Library pool tube barcode,text,,Library Pool,Library Pool,,,,,,,,
library_pool_preparation_date,preparation_date,,Library Pool Preparation Date,Library Pool Preparation Date,date,,Library Pool,Library Pool,,,,,,,,
library_aliquot_local_name,aliquot_names,34191bad-d167-4335-8224-ade897d3728e,Names Of Aliquots For The Libraries,Names Of Aliquots For The Libraries,text,,Library Pool,Library Pool,,,,,,,,
fastq_file_alignment_status,fastq_file_alignment_status,,FASTQ File Alignment Status,FASTQ File Alignment Status,categorical,,Library Pool,Library Pool,,,,,,,,1/#/Pass/#/|2/#/Fail-Flag/#/|3/#/Fail-Withhold/#/
library_ids,library_ids,,NHash Library IDs of the aliquots in this pool,NHash Library IDs of the aliquots in this pool,text,,Library Pool,Library Pool,,,,,,,,
sequencing_result_status,sequencing_result_status,,Sequencing results status,Sequencing results status,,,Library Pool,Library Pool,,,,,,,,
sequencing_results_comments,comments,,Sequencing results comments,Sequencing results comments,text,,Library Pool,Library Pool,,,,,,,,
flowcell,flowcell,,Flowcell,Flowcell,,,Library Pool,Library Pool,,,,,,,,
alignment_status,alignment_status,,Alignment status,Alignment status,,,Library Pool,Library Pool,,,,,,,,
