variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Specimen Request,Specimen Request,,,,,,,,,,,,
id,id,,Request ID,Request ID,numeric,,Specimen Request,Specimen Request,,,,integer,,,,
user_id,user_id,,User ID,User ID,numeric,,Specimen Request,Specimen Request,,,,integer,,,,
name,name,,Request title,Request title,text,,Specimen Request,Specimen Request,,,,,,,,
desc,desc,,Request description,Request description,text,,Specimen Request,Specimen Request,,,,,,,,
status,status,,Request Status,Request Status,categorical,,Specimen Request,Specimen Request,,,,,,,,Submitted/#/Submitted/#/the request is submitted|Under Review/#/Under Review/#/the request is under review|Rejected/#/Rejected/#/the request is rejected|Shipped/#/Shipped/#/the request is shipped|Delivered/#/Delivered/#/the request is delivered
specimen_request_uuid,specimen_request_uuid,,Request UUID,Request UUID,text,,Specimen Request,Specimen Request,,,,,,,,
request_type,request_type,,Request Type,Request Type,categorical,,Specimen Request,Specimen Request,,,,,,,,selected/#/selected/#/request with selected slabs|general/#/general/#/request using altas
first_name,first_name,,Requestor First Name,Requestor First Name,text,,Specimen Request,Specimen Request,,,,,,,,
last_name,last_name,,Requestor Last Name,Requestor Last Name,text,,Specimen Request,Specimen Request,,,,,,,,
country,country,,Requestor Country,Requestor Country,text,,Specimen Request,Specimen Request,,,,,,,,
address_1,address_1,,Requestor Address 1,Requestor Address 1,text,,Specimen Request,Specimen Request,,,,,,,,
address_2,address_2,,Requestor Address 2,Requestor Address 2,text,,Specimen Request,Specimen Request,,,,,,,,
state,state,,Requestor State,Requestor State,text,,Specimen Request,Specimen Request,,,,,,,,
zip_code,zip_code,,Requestor Zip/Postal code,Requestor Zip/Postal code,text,,Specimen Request,Specimen Request,,,,,,,,
preferred_shipping_carrier,preferred_shipping_carrier,,Associated Shipping Carrier,Associated Shipping Carrier,text,,Specimen Request,Specimen Request,,,,,,,,
carrier_account_number,carrier_account_number,,Carrier Account Number,Carrier Account Number,text,,Specimen Request,Specimen Request,,,,,,,,
signing_official_firstname,signing_official_firstname,,Signing Official First Name,Signing Official First Name,text,,Specimen Request,Specimen Request,,,,,,,,
signing_official_lastname,signing_official_lastname,,Signing Official Last Name,Signing Official Last Name,text,,Specimen Request,Specimen Request,,,,,,,,
signing_official_email,signing_official_email,,Signing Official Email,Signing Official Email,text,,Specimen Request,Specimen Request,,,,,,,,
query_id,query_id,,Related Query ID,Related Query ID,numeric,,Specimen Request,Specimen Request,,,,integer,,,,
agreement_status,agreement_status,,Agreement Status,Agreement Status,categorical,,Specimen Request,Specimen Request,,,,,,,,true/#/true/#/Signed Material Transfer Agreement is available|false/#/false/#/No signed Material Transfer Agreement
shipping_date,shipping_date,,Shipping Date,Shipping Date,date,,Specimen Request,Specimen Request,,,,,,,,
tracking_number,tracking_number,,Tracking Number,Tracking Number,text,,Specimen Request,Specimen Request,,,,,,,,
shipping_provider,shipping_provider,,Shipping Provider,Shipping Provider,categorical,,Specimen Request,Specimen Request,,,,,,,,FedEx/#/Federal Express (FedEx)/#/Federal Express (FedEx)|UPS/#/United Parcel Service (UPS)/#/United Parcel Service (UPS)|USPS/#/United States Postal Service (USPS)/#/United States Postal Service (USPS)
delivery_date,delivery_date,,Delivery Date,Delivery Date,date,,Specimen Request,Specimen Request,,,,,,,,
