Nhash ID,Variable Name,Field Name,Description,Data Type,Numeric Type,Unit,Min,Max,Step,Resource Type,Nullable,Null Represents,BICAN UUID,Parent Variable,Resource Subgroup,Value Set (code/#/label)
"",general_subject_fields,General Subject Fields,"","","","","","","","","","","","","",""
PD-QLQLFB34,donor_local_name,Local Donor ID,Donor identifier given by the brain bank or the institution that holds the brain,text,"","","","","",Donor,No,"",f8af20f7-e8b8-47b5-8a68-9ec1f913ffdf,General Subject Fields,General Subject Fields,""
PD-DEXRDO36,donor_nhash_id,NHash Donor ID,NIMP generated globally unique identifier for a Donor ,text,"","","","","",Donor,No,"","",General Subject Fields,General Subject Fields,""
PD-NYNYAR61,repository,Repository,"If the brain is from NBB, the NBB repository the brain belongs to",categorical,"","","","","",Donor,Yes,"",408682ed-0e27-41e2-b9fa-f05674366d6e,General Subject Fields,General Subject Fields,1/#/TBD2/#/Miami3/#/Mt. Sinai4/#/Sepulveda5/#/Harvard8/#/Maryland Psychiatric9/#/HBCC7/#/Maryland6/#/Pittsburgh10/#/UCLAUTHealth/#/UTHealthAllen Institute/#/Allen InstituteBroad Institute/#/Broad InstituteUCSF/#/UCSFSalk Institute/#/Salk InstituteHarvard University/#/Harvard UniversityUT Southwestern/#/UT SouthwesternUT Southwestern Medical Cente/#/UT Southwestern Medical Cente
PD-TPTPPS27,donor_source,Donor Source,"The source of the donor brain. This could be either from NBB, UM1 project, or other",categorical,"","","","","",Donor,No,"",0d0cf732-0f76-409d-9a73-7a96d829d3d3,General Subject Fields,General Subject Fields,BICAN-NBB/#/BICAN-NBBBICAN-UM1/#/BICAN-UM1Other/#/Other
PD-JEJECK48,ethnicity,Ethnicity,Ethnicity of the donor,categorical,"","","","","",Donor,Yes,"",918370df-49f6-4361-9c52-f46b16412980,General Subject Fields,General Subject Fields,PV000034/#/Hispanic or LatinoPV000035/#/Not Hispanic or LatinoPV000036/#/UnknownPV000037/#/Not reported
PD-PRPRRP41,race,Race,Race of the donor,categorical,"","","","","",Donor,Yes,"",e515c009-550e-4f9c-b1b6-fc876a6fb2a8,General Subject Fields,General Subject Fields,PV000062/#/American Indian or Alaska NativePV000063/#/AsianPV000064/#/Black or African-AmericanPV000065/#/Native Hawaiian or Other Pacific IslanderPV000066/#/WhitePV000067/#/UnknownPV000068/#/Not reported
PD-SESEQB42,second_race,Second Race,Second race if available for the donor,categorical,"","","","","",Donor,Yes,"",192fe5b1-c812-4767-86fb-3178f9914705,General Subject Fields,General Subject Fields,PV000062/#/American Indian or Alaska NativePV000063/#/AsianPV000064/#/Black or African-AmericanPV000065/#/Native Hawaiian or Other Pacific IslanderPV000066/#/WhitePV000067/#/UnknownPV000068/#/Not reported
PD-LXUBTM45,sex,Sex at Birth,Donor's sex at birth,categorical,"","","","","",Donor,No,"",c819b9d5-2fde-40b2-bf0d-e07b56f96ac9,General Subject Fields,General Subject Fields,1/#/Male2/#/Female7/#/Other8/#/Unknown9/#/Not Reported
PD-KLKLJH33,gender,Gender at Time of Death,Donor's gender at death,categorical,"","","","","",Donor,Yes,"",1c71e775-65aa-442b-a392-1cf9a44e326e,General Subject Fields,General Subject Fields,1/#/Male2/#/Female3/#/Transgender Male4/#/Transgender Female5/#/Non-Binary6/#/Gender Fluid7/#/Other8/#/Unknown9/#/Not Reported
PD-HKHGTM45,sex_orientation,Sexual Orientation at Time of Death,Donor's sexual orientation at death,categorical,"","","","","",Donor,Yes,"",e47e8a2f-72fb-4036-b288-f4580dc2aa4e,General Subject Fields,General Subject Fields,1/#/Heterosexual2/#/Homosexual3/#/Bisexual4/#/Asexual7/#/Other8/#/Unknown9/#/Not Reported
PD-FTEMQD38,age_of_death,Age Value (Years),Donor's age at death in years,numeric,integer,year,0,750,1,Donor,No,"",14eb923a-161d-45e2-889d-81fea7b632b6,General Subject Fields,General Subject Fields,""
PD-SQSQDF25,birth_country_name,Birth Country Name,Donor's birth country,categorical,"","","","","",Donor,Yes,"",9c27fd29-b512-492f-a32f-b615c7585ff7,General Subject Fields,General Subject Fields,"1/#/Afghanistan2/#/Albania3/#/Algeria4/#/Andorra5/#/Angola6/#/Antigua and Barbuda7/#/Argentina8/#/Armenia9/#/Australia10/#/Austria11/#/Azerbaijan12/#/Bahamas13/#/Bahrain14/#/Bangladesh15/#/Barbados16/#/Belarus17/#/Belgium18/#/Belize19/#/Benin20/#/Bhutan21/#/Bolivia22/#/Bosnia and Herzegovina23/#/Botswana24/#/Brazil25/#/Brunei26/#/Bulgaria27/#/Burkina Faso28/#/Burundi29/#/C√¥te d'Ivoire30/#/Cabo Verde31/#/Cambodia32/#/Cameroon33/#/Canada34/#/Central African Republic35/#/Chad36/#/Chile37/#/China38/#/Colombia39/#/Comoros40/#/Congo (Congo-Brazzaville)41/#/Costa Rica42/#/Croatia43/#/Cuba44/#/Cyprus45/#/Czechia (Czech Republic)46/#/Democratic Republic of the Congo47/#/Denmark48/#/Djibouti49/#/Dominica50/#/Dominican Republic51/#/Ecuador52/#/Egypt53/#/El Salvador54/#/Equatorial Guinea55/#/Eritrea56/#/Estonia57/#/Eswatini (fmr. ""Swaziland"")58/#/Ethiopia59/#/Fiji60/#/Finland61/#/France62/#/Gabon63/#/Gambia64/#/Georgia65/#/Germany66/#/Ghana67/#/Greece68/#/Grenada69/#/Guatemala70/#/Guinea71/#/Guinea-Bissau72/#/Guyana73/#/Haiti74/#/Holy See75/#/Honduras76/#/Hungary77/#/Iceland78/#/India79/#/Indonesia80/#/Iran81/#/Iraq82/#/Ireland83/#/Israel84/#/Italy85/#/Jamaica86/#/Japan87/#/Jordan88/#/Kazakhstan89/#/Kenya90/#/Kiribati91/#/Kuwait92/#/Kyrgyzstan93/#/Laos94/#/Latvia95/#/Lebanon96/#/Lesotho97/#/Liberia98/#/Libya99/#/Liechtenstein100/#/Lithuania101/#/Luxembourg102/#/Madagascar103/#/Malawi104/#/Malaysia105/#/Maldives106/#/Mali107/#/Malta108/#/Marshall Islands109/#/Mauritania110/#/Mauritius111/#/Mexico112/#/Micronesia113/#/Moldova114/#/Monaco115/#/Mongolia116/#/Montenegro117/#/Morocco118/#/Mozambique119/#/Myanmar (formerly Burma)120/#/Namibia121/#/Nauru122/#/Nepal123/#/Netherlands124/#/New Zealand125/#/Nicaragua126/#/Niger127/#/Nigeria128/#/North Korea129/#/North Macedonia130/#/Norway131/#/Oman132/#/Pakistan133/#/Palau134/#/Palestine State135/#/Panama136/#/Papua New Guinea137/#/Paraguay138/#/Peru139/#/Philippines140/#/Poland141/#/Portugal142/#/Qatar143/#/Romania144/#/Russia145/#/Rwanda146/#/Saint Kitts and Nevis147/#/Saint Lucia148/#/Saint Vincent and the Grenadines149/#/Samoa150/#/San Marino151/#/Sao Tome and Principe152/#/Saudi Arabia153/#/Senegal154/#/Serbia155/#/Seychelles156/#/Sierra Leone157/#/Singapore158/#/Slovakia159/#/Slovenia160/#/Solomon Islands161/#/Somalia162/#/South Africa163/#/South Korea164/#/South Sudan165/#/Spain166/#/Sri Lanka167/#/Sudan168/#/Suriname169/#/Sweden170/#/Switzerland171/#/Syria172/#/Tajikistan173/#/Tanzania174/#/Thailand175/#/Timor-Leste176/#/Togo177/#/Tonga178/#/Trinidad and Tobago179/#/Tunisia180/#/Turkey181/#/Turkmenistan182/#/Tuvalu183/#/Uganda184/#/Ukraine185/#/United Arab Emirates186/#/United Kingdom187/#/United States of America188/#/Uruguay189/#/Uzbekistan190/#/Vanuatu191/#/Venezuela192/#/Vietnam193/#/Yemen194/#/Zambia195/#/Zimbabwe"
PD-ATEVEV39,primary_language,Primary Language Code,Donor's primary language,categorical,"","","","","",Donor,Yes,"",abe9edc7-96ca-4c6a-a1ed-c008548cc373,General Subject Fields,General Subject Fields,"1/#/Chinese languages2/#/English3/#/French4/#/German5/#/Sign Languages6/#/Spanish444/#/Other, specify"
PD-OBIUQB42,secondary_language,Secondary Language Code,Donor's secondary language,categorical,"","","","","",Donor,Yes,"",37b7495f-b010-4d1c-ae32-9cb19c680950,General Subject Fields,General Subject Fields,"1/#/Chinese languages2/#/English3/#/French4/#/German5/#/Sign Languages6/#/Spanish444/#/Other, specify"
PD-EXEXXI30,year_of_death,Date of Death,Donor's date of death,date,"","","","","",Donor,Yes,"",60445046-d9d8-4f00-959e-9a4c42613e5e,General Subject Fields,General Subject Fields,""
PD-NHNHEV39,autopsy_report,Autopsy Report,Is the donor's autopsy report available?,categorical,"","","","","",Donor,Yes,"",3f787b64-0985-4d0f-9523-54475164b7ad,General Subject Fields,General Subject Fields,1/#/Yes2/#/No
PD-RIRIHA29,cause_of_death,Cause of Death,The cause of the donor's death,text,"","","","","",Donor,Yes,"",fa970a03-41ea-473b-a8ce-427fec92cdff,General Subject Fields,General Subject Fields,""
PD-THTHXT26,cause_of_death_code,Cause of Death Code,The ICD-10 code of the donor's caus of death,text,"","","","","",Donor,Yes,"",61374624-2d3c-477e-95b3-9bd30974b52a,General Subject Fields,General Subject Fields,""
PD-ZNZNEV39,manner_of_death,Manner of Death,Donor's manner of death,categorical,"","","","","",Donor,Yes,"",36eeb35b-5020-4a9e-a74b-6e1104415e0e,General Subject Fields,General Subject Fields,0/#/Not Deceased1/#/Accidental2/#/Homicide3/#/Suicide4/#/Natural5/#/Undetermined9/#/Status of Death Unknown
PD-JCYJCN35,marital_status,Marital Or Partner Status ATOD,Donor's marital or partner status,categorical,"","","","","",Donor,Yes,"",4f0e41c9-dd15-4a37-ae6b-11b7131d7cba,General Subject Fields,General Subject Fields,PV000093/#/Never MarriedPV000094/#/MarriedPV000095/#/Domestic partnershipPV000096/#/DivorcedPV000097/#/SeparatedPV000098/#/Widowed99/#/Unknown
PD-SJSJRC41,education_years_number,Education Years Number,Number of years of education the donor had,numeric,integer,year,0,30,1,Donor,Yes,"",add3f7fe-ae60-4cc1-bb2e-72bbbe9a1a7d,General Subject Fields,General Subject Fields,""
