variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Tissue,Tissue,,,,,,,,,,,,
tissue_sample_local_name,local_name,2e4ca2fc-2d77-4d19-af45-d0fb7bbc2269,Tissue Local Name / Identifier,Local Tissue Name,text,,Tissue,Tissue,,,,,,,,
tissue_nhash_id,study_id,,Tissue NHash ID,Tissue NHash ID,text,,Tissue,Tissue,,,,,,,,
tissue_sample_preparation_date,preparation_date,,Tissue Preparation Date,Tissue Preparation Date,date,,Tissue,Tissue,,,,,,,,
species,species_type,6837cb02-6bd7-4fb8-838c-9062ead96ba4,Species that the tissue belongs to,Species that the tissue belongs to,categorical,,Tissue,Tissue,,,,,,,,NCBITaxon:9606/#/Homo sapiens/#/human|NCBITaxon:9606/#/Homo sapiens/#/human developmental|NCBITaxon:9483/#/Callithrix jacchus/#/common marmoset|NCBITaxon:10090/#/Mus musculus/#/mouse|NCBITaxon:9544/#/ Macaca mulatta/#/rhesus macaque|NCBITaxon:60711/#/Chlorocebus sabaeus/#/green monkey|NCBITaxon:9999/#/Urocitellus parryii/#/Arctic ground squirrel|NCBITaxon:9361/#/Dasypus novemcinctus/#/nine-banded armadillo|NCBITaxon:9598/#/Pan troglodytes/#/chimpanzee|NCBITaxon:9669/#/Mustela putorius furo/#/ferret|NCBITaxon:9593/#/Gorilla gorilla/#/western gorilla|NCBITaxon:9545/#/Macaca nemestrina/#/pig-tailed macaque|NCBITaxon:13616/#/Monodelphis domestica/#/gray short-tailed opossum|NCBITaxon:9986/#/Oryctolagus cuniculus/#/rabbit|NCBITaxon:10116/#/Rattus norvegicus/#/rat|NCBITaxon:9541/#/Macaca fascicularis/#/crab-eating macaque|NCBITaxon:9534/#/Chlorocebus aethiops/#/grivet|NCBITaxon:9614/#/Canis latrans/#/coyote|NCBITaxon:9555/#/Papio anubis/#/olive baboon|NCBITaxon:27679/#/Saimiri boliviensis/#/black-capped squirrel monkey|NCBITaxon:9521/#/Saimiri sciureus/#/squirrel monkey|NCBITaxon:30608/#/Microcebus murinus/#/mouse lemur|NCBITaxon:37293/#/Aotus nancymaae/#/owl monkey|NCBITaxon:37347/#/Tupaia belangeri/#/treeshrew|NCBITaxon:10181/#/Heterocephalus glaber/#/naked mole rat|NCBITaxon:9823/#/Sus scrofa/#/pig
project_identifier,project,,The database id of the project this tissue is for,The database id of the project this tissue is for,numeric,,Tissue,Tissue,,,,,,,,
roi_local_name,roi_id,,Local ROI name,Local ROI name,text,,Tissue,Tissue,,,,,,,,
structure,tissue_sample_structure,,The structure of atlas the tissue aligns with,The structure of atlas the tissue aligns with,categorical,,Tissue,Tissue,,,,,,,,
slab_ids,slab_ids,,,,,,Tissue,Tissue,,,,,,,,
brain_regions,brain_regions,,,,,,Tissue,Tissue,,,,,,,,
top_anatomical_region,top_anatomical_region,,,,,,Tissue,Tissue,,,,,,,,
roi_desc,roi_desc,,,,,,Tissue,Tissue,,,,,,,,
tissue_sample_structure,tissue_sample_structure,,,,,,Tissue,Tissue,,,,,,,,
