Code,Label
DHBA:10153,NP
DHBA:10154,NT
DHBA:10155,Br
DHBA:10156,F
DHBA:10157,FGM
DHBA:10506,FTS
DHBA:11580,SG
DHBA:11581,fSG
DHBA:11587,fSGfp
DHBA:11582,fSGdm
DHBA:11585,fSGdl
DHBA:11586,fSGvl
DHBA:11583,fSGor
DHBA:11584,fSGm1
DHBA:11593,pSG
DHBA:11594,pSGs1
DHBA:11597,pSGdm
DHBA:11595,pSGpd
DHBA:11596,pSGpv
DHBA:11598,tSG
DHBA:15498,tSGdl
DHBA:11599,tSGa1
DHBA:11600,tSGsl
DHBA:13202,tSGps
DHBA:13206,tSGpi
DHBA:15499,tSGvl
DHBA:13203,tSGml
DHBA:11601,tSGil
DHBA:11602,tSGmi
DHBA:13204,tSG36
DHBA:13205,tSGtf
DHBA:11603,tSGph
DHBA:11604,tSGmt
DHBA:11605,tSGlt
DHBA:11606,tSGtp
DHBA:11588,oSG
DHBA:13201,oSGpro
DHBA:11589,oSGv1
DHBA:13200,oSGexs
DHBA:11590,oSGdm
DHBA:11591,oSGvm
DHBA:11592,oSGml
DHBA:12971,iSG
DHBA:12972,iSGdg
DHBA:12973,iSGg
DHBA:12966,cSG
DHBA:12967,cSGr
DHBA:12968,cSGmi
DHBA:12969,cSGc
DHBA:12970,cSGsg
DHBA:12974,peSG
DHBA:13213,SGPC
DHBA:12979,SGpcr
DHBA:13214,SGpcc
DHBA:13273,SGpas
DHBA:12975,SGec
DHBA:13212,SGecl
DHBA:12976,SGEo
DHBA:12977,SGEr
DHBA:13211,SGecm
DHBA:12978,SGEc
DHBA:13210,SGprs
DHBA:13274,SGprsr
DHBA:13275,SGprsc
DHBA:12980,SGrs
DHBA:13276,SGIag
DHBA:13207,alSG
DHBA:13208,SGhip
DHBA:13209,SGsub
DHBA:13277,SGpir
DHBA:146034614,SGiag
DHBA:10508,MZ
DHBA:10509,fMZ
DHBA:11612,fMZfp
DHBA:11607,fMZdm
DHBA:11610,fMZdl
DHBA:11611,fMZvl
DHBA:11608,fMZor
DHBA:11609,fMZm1
DHBA:10511,pMZ
DHBA:11617,pMZs1
DHBA:11620,pMZdm
DHBA:11618,pMZpd
DHBA:11619,pMZpv
DHBA:10512,tMZ
DHBA:15500,tMZdl
DHBA:11621,tMZa1
DHBA:11622,tMZsl
DHBA:13082,tMZps
DHBA:13086,tMZpi
DHBA:15501,tMZvl
DHBA:13083,tMZml
DHBA:11623,tMZil
DHBA:11624,tMZmi
DHBA:13084,tMZ36
DHBA:13085,tMZtf
DHBA:11625,tMZph
DHBA:11626,tMZmt
DHBA:11627,tMZlt
DHBA:11628,tMZtp
DHBA:10510,oMZ
DHBA:13081,oMZpro
DHBA:11613,oMZv1
DHBA:13080,oMZexs
DHBA:11614,oMZdm
DHBA:11615,oMZvm
DHBA:11616,oMZml
DHBA:11634,iMZ
DHBA:11635,iMZdg
DHBA:11636,iMZgr
DHBA:11629,cMZ
DHBA:11630,cMZr
DHBA:11631,cMZmi
DHBA:11632,cMZc
DHBA:11633,cMZsg
DHBA:10514,peMZ
DHBA:11645,MZpc
DHBA:11646,MZpcr
DHBA:11647,MZpcc
DHBA:13278,MZpas
DHBA:11641,MZEC
DHBA:13094,MZlec
DHBA:11642,MZeo
DHBA:11643,Mzer
DHBA:13093,MZmec
DHBA:11644,MZec
DHBA:11640,MZprs
DHBA:13091,MZprsr
DHBA:13092,MZprsc
DHBA:11648,MZrs
DHBA:13279,MZIag
DHBA:10513,alMZ
DHBA:11637,MZhip
DHBA:13087,MZhipr
DHBA:13088,MZhipc
